Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Status
acc--brazos-regulables-3d-pu,nan: Brazos Regulables 3D PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-3D-PU,22000.0,shopify,9999,deny,active
acc-opcional-ruedas-desmopan-para-piso-flotante,Opcional: Ruedas Desmopan (Para Piso Flotante),Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-PARA-PISO-FLOTANTE,11000.0,shopify,9999,deny,active
acc--desplazador-de-asiento,nan: Desplazador de Asiento,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DESPLAZADOR-DE-ASIENTO,20000.0,shopify,9999,deny,active
acc--cabecero,nan: Cabecero,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,38000.0,shopify,9999,deny,active
acc--eco-clean,nan: Eco Clean,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECO-CLEAN,22000.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,33000.0,shopify,9999,deny,active
acc-opcional-mecanismo-4-posiciones-de-bloqueo,Opcional: Mecanismo 4 posiciones de bloqueo,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-MECANISMO-4-POSICIONES-DE-BLOQUEO,9000.0,shopify,9999,deny,active
acc--ruedas-desmopan-50mm-para-piso-flotante,nan: Ruedas Desmopan 50mm (Para Piso Flotante),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-50MM-PARA-PISO-FLOTANTE,13500.0,shopify,9999,deny,active
acc--cabecero,nan: Cabecero,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,33000.0,shopify,9999,deny,active
acc--brazo-regulable-3d-pu,nan: Brazo Regulable 3D PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-3D-PU,15000.0,shopify,9999,deny,active
acc--c-soft,nan: C-Soft,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-C-SOFT,17000.0,shopify,9999,deny,active
acc-patas-base-aluminio,Patas: Base Aluminio ,Accesorio opcional de tipo Patas proveniente de Magento.,Magento Import,Patas,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,38000.0,shopify,9999,deny,active
acc--brazos-regulables-en-3d-pu,nan: Brazos Regulables en 3D PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-EN-3D-PU,15000.0,shopify,9999,deny,active
acc-opcionales-mecanismo-con-4-posiciones-de-bloqueo,OPCIONALES: Mecanismo con 4 Posiciones de Bloqueo,Accesorio opcional de tipo OPCIONALES proveniente de Magento.,Magento Import,OPCIONALES,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-MECANISMO-CON-4-POSICIONES-DE-BLOQUEO,10000.0,shopify,9999,deny,active
acc--ruedas-desmopan-goma-65mm-para-piso-flotante,nan: Ruedas Desmopan Goma 65mm (Para Piso Flotante),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-GOMA-65MM-PARA-PISO-FLOTANTE,11000.0,shopify,9999,deny,active
acc--c-soft,nan: C-Soft,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-C-SOFT,20000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base cromada ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,21100.0,shopify,9999,deny,active
acc--brazo-regulable-en-pp,nan: Brazo Regulable en PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-EN-PP,15000.0,shopify,9999,deny,active
acc--brazo-regulable-2d,nan: Brazo Regulable 2D,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-2D,22000.0,shopify,9999,deny,active
acc-opcional-desplazador-de-asiento,Opcional: Desplazador de Asiento,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DESPLAZADOR-DE-ASIENTO,20000.0,shopify,9999,deny,active
acc--mecanismo-con-4-posiciones-de-bloqueo,nan: Mecanismo con 4 Posiciones de Bloqueo,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-MECANISMO-CON-4-POSICIONES-DE-BLOQUEO,10000.0,shopify,9999,deny,active
acc--ruedas-desmopán-50-mm-para-piso-flotante,nan: Ruedas Desmopán 50 mm (Para Piso Flotante),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPÁN-50-MM-PARA-PISO-FLOTANTE,11000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,11250.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-pp,nan: Brazos Regulables Fritz PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-PP,25000.0,shopify,9999,deny,active
acc--brazos-regulables-vento-en-pu,nan: Brazos Regulables Vento en PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-VENTO-EN-PU,25000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,11350.0,shopify,9999,deny,active
acc--brazos-regulables-en-tpu,nan: Brazos Regulables en TPU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-EN-TPU,25000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,15000.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-pp,nan: Brazos Regulables Fritz PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-PP,10000.0,shopify,9999,deny,active
acc--brazos-regulables-2d-tpu,nan: Brazos Regulables 2D  TPU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-2D-TPU,20000.0,shopify,9999,deny,active
acc--nordic,nan: Nordic,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC,33000.0,shopify,9999,deny,active
acc-opcionales-ruedas-desmopan,OPCIONALES : Ruedas Desmopan ,Accesorio opcional de tipo OPCIONALES  proveniente de Magento.,Magento Import,OPCIONALES ,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN,11000.0,shopify,9999,deny,active
acc--brazos-regulables-2d-tpu,nan: Brazos Regulables 2D TPU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-2D-TPU,20000.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,23000.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,26000.0,shopify,9999,deny,active
acc--alto,nan: Alto,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ALTO,7250.0,shopify,9999,deny,active
acc-opcional-ruedas-desmopan-50mm,Opcional: Ruedas Desmopan 50mm,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-50MM,4918.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,26700.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,55500.0,shopify,9999,deny,active
acc--brazo-fijo-brc-24,nan: Brazo Fijo BRC 24,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-FIJO-BRC-24,17700.0,shopify,9999,deny,active
acc--brazo-regulable-brc-28-pp-estructura-negra,nan: Brazo Regulable BRC 28 PP Estructura Negra,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-BRC-28-PP-ESTRUCTURA-NEGRA,25500.0,shopify,9999,deny,active
acc--brazo-regulable-brc-19-cr-estructura-aluminio,nan: Brazo Regulable BRC 19 CR Estructura Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-BRC-19-CR-ESTRUCTURA-ALUMINIO,40000.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,23000.0,shopify,9999,deny,active
acc--brazos-fijos-golf,nan: Brazos fijos Golf,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS-GOLF,10000.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-en-pp,nan: Brazos regulables fritz en PP ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-EN-PP,20000.0,shopify,9999,deny,active
acc--brazos-regulables-2d-en-pu,nan: Brazos regulables 2D en PU ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-2D-EN-PU,25000.0,shopify,9999,deny,active
acc-patas-base-cromada,Patas : Base cromada ,Accesorio opcional de tipo Patas  proveniente de Magento.,Magento Import,Patas ,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,20000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,20000.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-pp,nan: Brazos Regulables Fritz PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-PP,20000.0,shopify,9999,deny,active
acc--brazos-fijos-pp,nan: Brazos Fijos PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS-PP,10000.0,shopify,9999,deny,active
acc--brazos-regulables-pp,nan: Brazos Regulables PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-PP,20000.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,16600.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos  ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,16600.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,16600.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,17000.0,shopify,9999,deny,active
acc--eco-clean,nan: Eco Clean,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECO-CLEAN,17000.0,shopify,9999,deny,active
acc--trineo-cromado,nan: Trineo cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-TRINEO-CROMADO,6000.0,shopify,9999,deny,active
acc--brazos-plásticos-negros-con-pad-negro,nan: Brazos Plásticos Negros con Pad Negro,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-PLÁSTICOS-NEGROS-CON-PAD-NEGRO,26000.0,shopify,9999,deny,active
acc--patas-grises,nan: Patas Grises   ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-GRISES,2990.0,shopify,9999,deny,active
acc--patas-cromadas,nan: Patas Cromadas,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-CROMADAS,8990.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,17080.0,shopify,9999,deny,active
acc--patas-grises,nan: Patas Grises.  ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-GRISES,2990.0,shopify,9999,deny,active
acc--brazos-fijos,nan: Brazos Fijos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS,17700.0,shopify,9999,deny,active
acc--paleta-nacional-universitaria,nan: Paleta Nacional Universitaria,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PALETA-NACIONAL-UNIVERSITARIA,31000.0,shopify,9999,deny,active
acc--estructura-trineo-cromada,nan: Estructura Trineo Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ESTRUCTURA-TRINEO-CROMADA,40000.0,shopify,9999,deny,active
acc--par-de-brazos,nan: Par de Brazos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-DE-BRAZOS,17000.0,shopify,9999,deny,active
acc--par-de-brazos,nan: Par de Brazos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-DE-BRAZOS,15000.0,shopify,9999,deny,active
acc-opcional-ruedas-desmopan-65mm-para-piso-flotante,Opcional: Ruedas Desmopan 65mm (Para Piso Flotante),Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-65MM-PARA-PISO-FLOTANTE,9750.0,shopify,9999,deny,active
acc-accesorios-apoyo-lumbar,Accesorios: Apoyo Lumbar,Accesorio opcional de tipo Accesorios proveniente de Magento.,Magento Import,Accesorios,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-APOYO-LUMBAR,48635.0,shopify,9999,deny,active
acc--perchero,nan: Perchero ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PERCHERO,83141.0,shopify,9999,deny,active
acc--cabecero-ancho-malla-negro,nan: Cabecero Ancho Malla Negro,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO-ANCHO-MALLA-NEGRO,152165.0,shopify,9999,deny,active
acc-opcionales-cabecero-ancho-malla-fijo,Opcionales : Cabecero Ancho Malla Fijo ,Accesorio opcional de tipo Opcionales  proveniente de Magento.,Magento Import,Opcionales ,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO-ANCHO-MALLA-FIJO,177000.0,shopify,9999,deny,active
acc--apoyo-lumbar,nan: Apoyo Lumbar ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-APOYO-LUMBAR,95500.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,22000.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,29000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,25500.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,52900.0,shopify,9999,deny,active
acc--brazo-fijo-brc-24,nan: Brazo Fijo BRC 24,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-FIJO-BRC-24,16900.0,shopify,9999,deny,active
acc--brazo-regulable-brc-28-pp,nan: Brazo Regulable BRC 28 PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-BRC-28-PP,24000.0,shopify,9999,deny,active
acc--brazo-regulable-brc-19-cr,nan: Brazo Regulable BRC 19 CR,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE-BRC-19-CR,38990.0,shopify,9999,deny,active
acc--si,nan: Si,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-SI,3990.0,shopify,9999,deny,active
acc-opciones-extra-cabecero,Opciones extra: Cabecero,Accesorio opcional de tipo Opciones extra proveniente de Magento.,Magento Import,Opciones extra,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,20000.0,shopify,9999,deny,active
acc--desplazador,nan: Desplazador ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DESPLAZADOR,20000.0,shopify,9999,deny,active
acc--cojines-tapizados-en-cuero-italiano,nan: Cojines Tapizados en Cuero Italiano,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-COJINES-TAPIZADOS-EN-CUERO-ITALIANO,63000.0,shopify,9999,deny,active
acc-componente-adicional-base-aluminio,COMPONENTE ADICIONAL: Base Aluminio ,Accesorio opcional de tipo COMPONENTE ADICIONAL proveniente de Magento.,Magento Import,COMPONENTE ADICIONAL,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,33000.0,shopify,9999,deny,active
acc--rueda-desmopan,nan: Rueda Desmopan ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDA-DESMOPAN,13500.0,shopify,9999,deny,active
acc-opcional-cabecero,Opcional: Cabecero,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,30000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,129500.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,261000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,387500.0,shopify,9999,deny,active
acc--pata-y-invertida-aluminio-pulido,nan: Pata Y invertida Aluminio pulido,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-Y-INVERTIDA-ALUMINIO-PULIDO,25000.0,shopify,9999,deny,active
acc--patas-trineo-cromado,nan: Patas Trineo Cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-TRINEO-CROMADO,40000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,47570.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,97610.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,202000.0,shopify,9999,deny,active
acc--6,nan: 6,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-6,244000.0,shopify,9999,deny,active
acc--6,nan: 6,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-6,226000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,59200.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,126400.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,233000.0,shopify,9999,deny,active
acc--pata-split,nan: Pata Split,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-SPLIT,44000.0,shopify,9999,deny,active
