Parent_SKU,Accessory_Group,Accessory_Title,Accessory_Handle
VC15,,Patas Cromadas,acc--patas-cromadas
VC15,,Brazos plásticos negros con Pad negro (Revolution 20-21),acc--brazos-plásticos-negros-con-pad-negro-revolution-20-21
VC25,,Diametro 100 CM,acc--diametro-100-cm
VC04,,3,acc--3
VC04,,4,acc--4
VC04,,5,acc--5
VC05,,3 Cuerpos,acc--3-cuerpos
VC05,,4 Cuerpos,acc--4-cuerpos
VC05,,5 Cuerpos,acc--5-cuerpos
VC05,Accesorio,Revistero,acc-accesorio-revistero
VC06,,3,acc--3
VC06,,4,acc--4
VC06,,5,acc--5
VC06,Accesorio,Revistero,acc-accesorio-revistero
VC07,,3 Cuerpos,acc--3-cuerpos
VC07,,4 Cuerpos,acc--4-cuerpos
VC07,,5 Cuerpos,acc--5-cuerpos
VC09,,3 Cuerpos,acc--3-cuerpos
VC09,,4 Cuerpos,acc--4-cuerpos
VC09,,5 Cuerpos,acc--5-cuerpos
VC09,ACCESORIOS,Par Brazos aluminio barnizado negro con Pad Negro ,acc-accesorios-par-brazos-aluminio-barnizado-negro-con-pad-negro
VC09,,Par Brazos aluminio pulido Pad Negro,acc--par-brazos-aluminio-pulido-pad-negro
VC09,,Par Brazos aluminio pulido Pad blanco,acc--par-brazos-aluminio-pulido-pad-blanco
VC09,,Revistero,acc--revistero
VC10,,3 Cuerpos,acc--3-cuerpos
VC10,,4 Cuerpos,acc--4-cuerpos
VC10,,5 Cuerpos,acc--5-cuerpos
VC10,Accesorio,Revistero,acc-accesorio-revistero
VC11,,3,acc--3
VC11,,4,acc--4
VC11,,5,acc--5
VC11,,Pata Luna Cromada,acc--pata-luna-cromada
VC98,,3,acc--3
VC98,,4,acc--4
VC98,Tapiz Lavable Ecoclean,Nordic 2 Cuerpos,acc-tapiz-lavable-ecoclean-nordic-2-cuerpos
VC98,,Nordic 3 Cuerpos,acc--nordic-3-cuerpos
VC98,,Nordic 4 Cuerpos,acc--nordic-4-cuerpos
VC99,,3,acc--3
VC99,,4,acc--4
VC99,,5,acc--5
VC100,,3,acc--3
VC100,,4,acc--4
VC100,,5,acc--5
VC100,Accesorio,Revistero,acc-accesorio-revistero
VC101,,3,acc--3
VC101,,4,acc--4
VC101,,5,acc--5
VC101,Accesorio,Revistero,acc-accesorio-revistero
VC102,,3,acc--3
VC102,,4,acc--4
VC106,,3,acc--3
VC106,,4,acc--4
VC106,,5,acc--5
VC107,,3 Cuerpos,acc--3-cuerpos
VC107,,4 Cuerpos,acc--4-cuerpos
VC107,,5 Cuerpos,acc--5-cuerpos
VC108,,3 Cuerpos,acc--3-cuerpos
VC109,Accesorios,Patínes Negros en vez de ruedas,acc-accesorios-patínes-negros-en-vez-de-ruedas
VC109,,Ruedas Desmopán,acc--ruedas-desmopán
VC109,,Aro Cromado,acc--aro-cromado
VC109,,Brazos Regulables ,acc--brazos-regulables
VC113,,Aro Cromado,acc--aro-cromado
VC113,,Nordic,acc--nordic
VC114,,Brazos fijo PP,acc--brazos-fijo-pp
VC114,,Brazos Regulables Fritz en PP,acc--brazos-regulables-fritz-en-pp
VC114,Opcional,Aro cromado,acc-opcional-aro-cromado
VC114,,Ruedas Desmopan 50mm (Para Piso Flotante),acc--ruedas-desmopan-50mm-para-piso-flotante
VC114,,Nordic,acc--nordic
VC116,Accesorios,Patín Negro,acc-accesorios-patín-negro
VC116,,Brazo Regulable ,acc--brazo-regulable
VC116,,Aro Cromado,acc--aro-cromado
VC119,,Brazos Fijos Golf PP,acc--brazos-fijos-golf-pp
VC119,,Brazos Regulables Fritz en PP,acc--brazos-regulables-fritz-en-pp
VC119,,Brazos Regulables 2D PU,acc--brazos-regulables-2d-pu
VC119,Opcional,Ruedas Desmopan 50mm,acc-opcional-ruedas-desmopan-50mm
VC119,,Aro Cromado,acc--aro-cromado
VC119,,Nordic,acc--nordic
VC117,,Pata Cromada,acc--pata-cromada
VC121,,Pata Cromada,acc--pata-cromada
VC121,Brazo,Incluir Brazo Opuesto a Paleta,acc-brazo-incluir-brazo-opuesto-a-paleta
VC111,,Pata Color Gris ,acc--pata-color-gris
VC111,,Pata Cromada,acc--pata-cromada
VC111,,Patas Trineo Cromado,acc--patas-trineo-cromado
VC20,,Nordic,acc--nordic
VC136,,2 Cuerpo,acc--2-cuerpo
VC136,,3 Cuerpo,acc--3-cuerpo
VC137,,2 Cuerpo,acc--2-cuerpo
VC137,,3 Cuerpo,acc--3-cuerpo
VC137,Tapiz,Ecoclean Lavable Antimancha para 1 cuerpo,acc-tapiz-ecoclean-lavable-antimancha-para-1-cuerpo
VC137,,Ecoclean Lavable Antimancha para 2 cuerpos,acc--ecoclean-lavable-antimancha-para-2-cuerpos
VC137,,Ecoclean Lavable Antimancha para 3 cuerpos,acc--ecoclean-lavable-antimancha-para-3-cuerpos
VC139,,2 Cuerpos,acc--2-cuerpos
VC139,,3 Cuerpos,acc--3-cuerpos
VC143,,Par de Brazos Iso,acc--par-de-brazos-iso
VC143,,Estructura Gris ,acc--estructura-gris
VC143,,Estructura Cromada,acc--estructura-cromada
VC144,,Par de Brazos ,acc--par-de-brazos
VC144,,Patas Cromadas,acc--patas-cromadas
VC144,,Estructura Trineo Cromado,acc--estructura-trineo-cromado
VC146,,Estructura Gris ,acc--estructura-gris
VC146,,Estructura Cromada,acc--estructura-cromada
VC146,,Par Brazos Iso,acc--par-brazos-iso
VC158,Opcional,Cabecero ,acc-opcional-cabecero
VC158,,Base Cromada,acc--base-cromada
VC158,,Base Aluminio,acc--base-aluminio
VC160,Opcional,Cabecero,acc-opcional-cabecero
VC160,,Base cromada ,acc--base-cromada
VC160,,Base Aluminio,acc--base-aluminio
VC161,Opcional,Cabecero,acc-opcional-cabecero
VC161,,Base cromada ,acc--base-cromada
VC166,,Base Cromada,acc--base-cromada
VC166,,Base Aluminio,acc--base-aluminio
VC166,,Brazo Regulable ,acc--brazo-regulable
VC168,Opcional,Cabecero,acc-opcional-cabecero
VC168,,Base Cromada 600,acc--base-cromada-600
VC168,,Base Aluminio,acc--base-aluminio
VC172,Accesorio,Base Aluminio,acc-accesorio-base-aluminio
VC172,,Ruedas Desmopan (Para Piso Flotante),acc--ruedas-desmopan-para-piso-flotante
VC172,,Desplazador de Asiento en Profundidad,acc--desplazador-de-asiento-en-profundidad
VC173,,Base Aluminio,acc--base-aluminio
VC173,,Brazos Regulables 3D PU,acc--brazos-regulables-3d-pu
VC173,Opcional,Ruedas Desmopan (Para Piso Flotante),acc-opcional-ruedas-desmopan-para-piso-flotante
VC173,,Desplazador de Asiento,acc--desplazador-de-asiento
VC173,,Cabecero,acc--cabecero
VC173,,Eco Clean,acc--eco-clean
VC178,,Base Aluminio ,acc--base-aluminio
VC178,Opcional,Mecanismo 4 posiciones de bloqueo,acc-opcional-mecanismo-4-posiciones-de-bloqueo
VC178,,Ruedas Desmopan 50mm (Para Piso Flotante),acc--ruedas-desmopan-50mm-para-piso-flotante
VC178,,Desplazador de Asiento,acc--desplazador-de-asiento
VC178,,Cabecero,acc--cabecero
VC178,,Brazo Regulable 3D PU,acc--brazo-regulable-3d-pu
VC178,,C-Soft,acc--c-soft
VC184,Patas,Base Aluminio ,acc-patas-base-aluminio
VC184,,Brazos Regulables en 3D PU,acc--brazos-regulables-en-3d-pu
VC184,OPCIONALES,Mecanismo con 4 Posiciones de Bloqueo,acc-opcionales-mecanismo-con-4-posiciones-de-bloqueo
VC184,,Ruedas Desmopan Goma 65mm (Para Piso Flotante),acc--ruedas-desmopan-goma-65mm-para-piso-flotante
VC184,,Desplazador de Asiento,acc--desplazador-de-asiento
VC184,,Cabecero,acc--cabecero
VC184,,C-Soft,acc--c-soft
VC185,,Base cromada ,acc--base-cromada
VC185,,Brazo Regulable en PP,acc--brazo-regulable-en-pp
VC185,,Brazo Regulable 2D,acc--brazo-regulable-2d
VC185,Opcional,Desplazador de Asiento,acc-opcional-desplazador-de-asiento
VC185,,Mecanismo con 4 Posiciones de Bloqueo,acc--mecanismo-con-4-posiciones-de-bloqueo
VC185,,Ruedas Desmopán 50 mm (Para Piso Flotante),acc--ruedas-desmopán-50-mm-para-piso-flotante
VC185,,C-Soft,acc--c-soft
VC187,,Base Cromada,acc--base-cromada
VC187,,Brazos Fijos Golf PP,acc--brazos-fijos-golf-pp
VC187,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC187,,Brazos Regulables Vento en PU,acc--brazos-regulables-vento-en-pu
VC187,,Nordic,acc--nordic
VC188,,Base Cromada,acc--base-cromada
VC188,,Brazos Fijos Golf PP,acc--brazos-fijos-golf-pp
VC188,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC188,,Brazos Regulables en TPU,acc--brazos-regulables-en-tpu
VC188,,Nordic,acc--nordic
VC189,,Base Cromada,acc--base-cromada
VC189,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC189,,Brazos Regulables 2D  TPU,acc--brazos-regulables-2d-tpu
VC189,,Nordic,acc--nordic
VC189,OPCIONALES ,Ruedas Desmopan ,acc-opcionales-ruedas-desmopan
VC190,,Base Cromada,acc--base-cromada
VC190,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC190,,Brazos Regulables 2D TPU,acc--brazos-regulables-2d-tpu
VC190,,Nordic,acc--nordic
VC195,,Brazo Regulable ,acc--brazo-regulable
VC197,,Base Cromada,acc--base-cromada
VC197,,Base Aluminio,acc--base-aluminio
VC197,,Brazo Regulable ,acc--brazo-regulable
VC199,,Base Cromada,acc--base-cromada
VC199,,Base Aluminio,acc--base-aluminio
VC199,,Brazo Regulable,acc--brazo-regulable
VC201,,Alto,acc--alto
VC203,,Base Cromada,acc--base-cromada
VC203,,Base Aluminio,acc--base-aluminio
VC203,,Brazo Regulable,acc--brazo-regulable
VC212,Opcional,Ruedas Desmopan 50mm,acc-opcional-ruedas-desmopan-50mm
VC214,,Base Cromada,acc--base-cromada
VC214,,Base Aluminio,acc--base-aluminio
VC214,,Brazo Fijo BRC 24,acc--brazo-fijo-brc-24
VC214,,Brazo Regulable BRC 28 PP Estructura Negra,acc--brazo-regulable-brc-28-pp-estructura-negra
VC214,,Brazo Regulable BRC 19 CR Estructura Aluminio,acc--brazo-regulable-brc-19-cr-estructura-aluminio
VC222,,Brazo Regulable,acc--brazo-regulable
VC218,,Brazos fijos Golf,acc--brazos-fijos-golf
VC218,,Brazos regulables fritz en PP ,acc--brazos-regulables-fritz-en-pp
VC218,,Brazos regulables 2D en PU ,acc--brazos-regulables-2d-en-pu
VC218,,Nordic,acc--nordic
VC218,Patas ,Base cromada ,acc-patas-base-cromada
VC219,,Base Cromada,acc--base-cromada
VC219,,Brazos Fijos Golf PP,acc--brazos-fijos-golf-pp
VC219,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC219,,Brazos Regulables 2D PU,acc--brazos-regulables-2d-pu
VC219,,Nordic,acc--nordic
VC223,,Base Cromada,acc--base-cromada
VC223,,Brazos Fijos PP,acc--brazos-fijos-pp
VC223,,Brazos Regulables PP,acc--brazos-regulables-pp
VC223,,Nordic,acc--nordic
VC224,,Base Cromada,acc--base-cromada
VC224,,Brazos Fijos PP,acc--brazos-fijos-pp
VC224,,Brazos Regulables PP,acc--brazos-regulables-pp
VC224,,Nordic,acc--nordic
VC230,,Patas Cromadas,acc--patas-cromadas
VC230,,Estructura Trineo Cromado,acc--estructura-trineo-cromado
VC230,,Brazos Fijos ,acc--brazos-fijos
VC231,,Patas Cromadas,acc--patas-cromadas
VC231,,Brazos Fijos  ,acc--brazos-fijos
VC232,,Brazos Fijos,acc--brazos-fijos
VC240,,Brazos Fijos,acc--brazos-fijos
VC240,,Eco Clean,acc--eco-clean
VC235,,Trineo cromado,acc--trineo-cromado
VC237,,Patas Cromadas,acc--patas-cromadas
VC237,,Brazos Plásticos Negros con Pad Negro,acc--brazos-plásticos-negros-con-pad-negro
VC239,,Patas Grises   ,acc--patas-grises
VC239,,Patas Cromadas,acc--patas-cromadas
VC239,,Brazos Fijos,acc--brazos-fijos
VC241,,Patas Grises.  ,acc--patas-grises
VC241,,Patas Cromadas,acc--patas-cromadas
VC241,,Brazos Fijos,acc--brazos-fijos
VC241,,Paleta Nacional Universitaria,acc--paleta-nacional-universitaria
VC242,,Patas Cromadas,acc--patas-cromadas
VC242,,Estructura Trineo Cromada,acc--estructura-trineo-cromada
VC242,,Brazos Fijos,acc--brazos-fijos
VC243,,Patas Cromadas,acc--patas-cromadas
VC243,,Estructura Trineo Cromada,acc--estructura-trineo-cromada
VC243,,Brazos Fijos,acc--brazos-fijos
VC246,,Par de Brazos,acc--par-de-brazos
VC246,,Nordic,acc--nordic
VC249,,Par de Brazos,acc--par-de-brazos
VC249,,Nordic,acc--nordic
VC259,,Nordic,acc--nordic
VC260,,Nordic,acc--nordic
VC263,Opcional,Ruedas Desmopan 65mm (Para Piso Flotante),acc-opcional-ruedas-desmopan-65mm-para-piso-flotante
VC268,Accesorios,Apoyo Lumbar,acc-accesorios-apoyo-lumbar
VC268,,Perchero ,acc--perchero
VC268,,Cabecero Ancho Malla Negro,acc--cabecero-ancho-malla-negro
VC287,Opcionales ,Cabecero Ancho Malla Fijo ,acc-opcionales-cabecero-ancho-malla-fijo
VC287,,Apoyo Lumbar ,acc--apoyo-lumbar
VC291,,Base Cromada,acc--base-cromada
VC291,,Base Aluminio,acc--base-aluminio
VC291,,Brazo Regulable,acc--brazo-regulable
VC292,,Base Cromada,acc--base-cromada
VC292,,Base Aluminio,acc--base-aluminio
VC292,,Brazo Regulable ,acc--brazo-regulable
VC293,,Base Cromada,acc--base-cromada
VC293,,Base Aluminio,acc--base-aluminio
VC293,,Brazo Fijo BRC 24,acc--brazo-fijo-brc-24
VC293,,Brazo Regulable BRC 28 PP,acc--brazo-regulable-brc-28-pp
VC293,,Brazo Regulable BRC 19 CR,acc--brazo-regulable-brc-19-cr
VC264,Opcional,Ruedas Desmopan 65mm (Para Piso Flotante),acc-opcional-ruedas-desmopan-65mm-para-piso-flotante
VC322,,Si,acc--si
VC323,,Si,acc--si
VC359,Opciones extra,Cabecero,acc-opciones-extra-cabecero
VC359,,Desplazador ,acc--desplazador
VC374,,Cojines Tapizados en Cuero Italiano,acc--cojines-tapizados-en-cuero-italiano
VC376,COMPONENTE ADICIONAL,Base Aluminio ,acc-componente-adicional-base-aluminio
VC376,,Rueda Desmopan ,acc--rueda-desmopan
VC378,Opcional,Cabecero,acc-opcional-cabecero
VC384,,3 Cuerpos,acc--3-cuerpos
VC384,,4 Cuerpos,acc--4-cuerpos
VC384,,5 Cuerpos,acc--5-cuerpos
VC384,,Pata Y invertida Aluminio pulido,acc--pata-y-invertida-aluminio-pulido
VC384,Accesorio,Revistero,acc-accesorio-revistero
VC386,,Patas Cromadas,acc--patas-cromadas
VC386,Brazo,Incluir Brazo Opuesto a Paleta,acc-brazo-incluir-brazo-opuesto-a-paleta
VC387,,Pata Cromada,acc--pata-cromada
VC387,,Patas Trineo Cromado,acc--patas-trineo-cromado
VC388,,Pata Cromada,acc--pata-cromada
VC388,,Patas Trineo Cromado,acc--patas-trineo-cromado
VC391,,3,acc--3
VC391,,4,acc--4
VC391,,5,acc--5
VC391,,6,acc--6
VC392,,3,acc--3
VC392,,4,acc--4
VC392,,5,acc--5
VC392,,6,acc--6
VC395,,3 Cuerpos,acc--3-cuerpos
VC395,,4 Cuerpos,acc--4-cuerpos
VC395,,5 Cuerpos,acc--5-cuerpos
VC395,,Pata Split,acc--pata-split
VC395,,Pata Split Cromada,acc--pata-split-cromada
VC396,,3,acc--3
VC396,,4,acc--4
VC396,,5,acc--5
VC396,,6,acc--6
VC396,,Pata Luna cromada,acc--pata-luna-cromada
VC396,,Blanco,acc--blanco
VC397,,Con rejilla,acc--con-rejilla
VC400,,Con Rejilla Universittaria,acc--con-rejilla-universittaria
VC403,,3,acc--3
VC403,,4,acc--4
VC403,,5,acc--5
VC403,,6,acc--6
VC403,,Blanco,acc--blanco
VC404,,3,acc--3
VC404,,4,acc--4
VC404,,5,acc--5
VC404,,6,acc--6
VC404,,Blanco,acc--blanco
VC405,,3,acc--3
VC405,,4,acc--4
VC405,,5,acc--5
VC405,,6,acc--6
VC405,,Blanco,acc--blanco
VC405,,Pata luna cromada ,acc--pata-luna-cromada
VC405,,Pata split cromada,acc--pata-split-cromada
VC405,EXTRA,Revistero ,acc-extra-revistero
VC406,,3,acc--3
VC406,,4,acc--4
VC406,,5,acc--5
VC406,,6,acc--6
VC406,,pata luna cromada,acc--pata-luna-cromada
VC406,,pata split cromada ,acc--pata-split-cromada
VC414,Adicionales,Cabecero,acc-adicionales-cabecero
VC417,,Con Brazos,acc--con-brazos
VC418,,Con Brazos,acc--con-brazos
VC419,,Con Brazos,acc--con-brazos
VC420,,4 Patas Cromadas,acc--4-patas-cromadas
VC423,,Si,acc--si
VC423,Opcionales ,Ruedas desmopan ,acc-opcionales-ruedas-desmopan
VC425,,Si,acc--si
VC427,,Par de Brazos Negros,acc--par-de-brazos-negros
VC427,,Nordic,acc--nordic
VC428,,Par de Brazos Negros,acc--par-de-brazos-negros
VC428,,Nordic,acc--nordic
VC429,,Par de Brazos Negros,acc--par-de-brazos-negros
VC429,,Nordic,acc--nordic
VC430,,Par de Brazos Negros,acc--par-de-brazos-negros
